audit_id,complaint_id,rule_id,checked_at,result,escalated,escalation_reason,pipeline_stage,agent_name,invocation_latency_ms
e349e92e-4dbc-4d22-9697-f1ad1694002c,032ea228-597d-4455-9acb-be7a221e448a,CR-001,2025-10-05T07:16:33+00:00,warn,True,customer account flagged for review,compliance_check,resolution-agent-v1,1422
6b8fc484-a8a0-4e1c-87bf-43c92c787434,99d3b0ce-deea-489f-9955-4945a6e9d300,,2026-02-25T02:07:33+00:00,warn,True,confidence score below threshold,resolution,decision-agent-v1,265
6bac6673-f802-4612-9f20-91fb62e4eab9,ddb19014-bb14-418d-b01f-a00a1fa9eac0,,2025-10-15T16:38:33+00:00,pass,True,customer risk score above 0.85,data_pull,triage-agent-v1,151
c05e898b-94b3-4eb6-83c0-cbfe8e5abb7c,a25c38e8-e188-4dd5-966d-f623d0a1a15c,,2026-01-24T10:42:33+00:00,warn,True,duplicate complaint detected,draft_generation,resolution-agent-v1,3867
c5b11ddb-5aa6-483f-8f40-9f8e0b97568a,d72380ff-931f-4b7c-9173-8ea2ae458112,,2026-02-04T12:57:33+00:00,pass,True,duplicate complaint detected,resolution,decision-agent-v1,249
cd653ff1-29f9-4424-883e-a83d82869cad,18d8bb26-1a49-46ec-a98c-9f4d6a3219c6,,2026-02-05T06:49:33+00:00,warn,True,compliance rule violation detected,data_pull,triage-agent-v1,167
bd8de710-050b-4ae8-80b3-537ed0c1d89c,986b3a0b-f745-49de-b8ba-56cd0e0449b8,,2025-11-26T16:49:33+00:00,warn,True,fraud complaint misrouted,data_pull,triage-agent-v1,262
c9cc6266-397f-4690-9e13-343ae9c2b940,73b88e8d-2b25-427b-9045-24cd78bcfc64,,2025-12-31T06:26:33+00:00,warn,True,compliance rule violation detected,resolution,decision-agent-v1,66
3d904c20-8c4d-4f3d-a8ed-d2acefd13ee6,37d2734f-8802-4408-bf1d-14d04c031220,,2025-11-30T09:00:33+00:00,pass,True,SLA breach detected,classification,triage-agent-v1,234
5c05038f-ac5c-4ccb-b0a6-b428223ed14b,9c8cf56a-0e38-4cdc-bd1f-b2f18ec48113,,2026-02-16T14:05:33+00:00,warn,True,compliance rule violation detected,data_pull,triage-agent-v1,94
274b6fd0-5fc2-4994-adbb-1c65712291ec,b5d0cf24-3697-46c8-803b-6b72c48a2aa5,,2025-09-13T03:15:33+00:00,pass,True,high value refund requires approval,classification,triage-agent-v1,153
2dc1c4c3-3e1f-425c-a49f-ef217a8cf19a,917f3037-5cd0-4851-9701-2e0ae888af85,,2026-02-27T09:30:33+00:00,warn,True,fraud complaint misrouted,escalation,decision-agent-v1,248
a9725873-a249-46a6-9733-5d756a8e7786,ef4a28b1-ce85-454f-bc62-ac54e86a8237,,2026-02-11T23:46:33+00:00,pass,True,SLA breach detected,draft_generation,resolution-agent-v1,1356
7bef5a10-f8db-4b53-b52e-8f8eb0975c4b,502260e4-3d83-4b28-89ae-08cda08faed5,,2025-12-23T02:29:33+00:00,pass,True,SLA breach detected,resolution,decision-agent-v1,252
da04e741-82e8-4ae1-8be0-9ee56d621022,1adbd666-3296-4362-a44d-8f8ec4ff0ac9,,2025-12-15T14:03:33+00:00,pass,True,customer risk score above 0.85,escalation,decision-agent-v1,63
4a9ac714-c066-442a-ac1d-84bb9ee27c22,233f8986-3b71-4a16-9a58-7caed34bc267,,2025-11-28T15:54:33+00:00,pass,True,customer account flagged for review,classification,triage-agent-v1,283
5f4176b1-a1dc-41b3-a65b-4b102e7c46c2,b66005d1-22a6-4dfa-abc2-7ab97a09784b,,2025-11-21T18:54:33+00:00,pass,True,high value refund requires approval,classification,triage-agent-v1,125
9577a1f3-8725-440b-a97a-372caf4a3067,5980380b-7afb-44ff-9bce-dd9d28cdbd09,,2026-01-03T01:14:33+00:00,pass,True,insufficient transaction evidence,classification,triage-agent-v1,119
d4edab3f-69d4-4a72-a766-8af7a8d08d17,aca78843-746e-48d9-af63-8654fda6cb07,,2025-10-21T10:12:33+00:00,pass,True,compliance rule violation detected,resolution,decision-agent-v1,125
1c2be0c3-18ca-42d0-9ae5-44d81ee6cbfc,894fad28-583b-495e-9c96-370d8c332809,,2026-03-02T00:02:33+00:00,pass,True,fraud complaint misrouted,resolution,decision-agent-v1,54
7c7c7035-9944-4f65-b425-f5c19efee760,8f0deeba-95c7-4362-a5cb-e89767134944,,2026-01-20T05:11:33+00:00,pass,True,customer account flagged for review,draft_generation,resolution-agent-v1,3819
b401c3c3-c285-4536-8610-cb893e3a848a,351202c0-93ad-43b2-a0f4-c50cd246f5e4,,2025-09-30T18:23:33+00:00,pass,True,compliance rule violation detected,classification,triage-agent-v1,239
58eb1b86-4f07-47d6-9f20-d76f2cfb582b,36001e34-1058-49b2-84e2-f72fc2eb15e3,CR-011,2026-01-26T20:08:33+00:00,pass,True,SLA breach detected,compliance_check,resolution-agent-v1,3701
9772db0d-7644-4fcc-9041-e80bfdc66c90,267c9968-d91f-4cf3-9a59-7c290578d6ed,,2025-11-25T06:01:33+00:00,pass,True,customer risk score above 0.85,draft_generation,resolution-agent-v1,1550
b6d53c3a-27dc-4255-9baa-7ca40edc9ade,4bbefc5e-1760-4c22-9282-f81a9fd84048,,2025-12-18T16:50:33+00:00,block,True,customer risk score above 0.85,data_pull,triage-agent-v1,175
a8a057e8-356a-4645-83c1-f968d79b5a87,5e2ef0f0-214a-4759-be29-99406f35db2a,,2025-12-25T07:56:33+00:00,pass,True,insufficient transaction evidence,resolution,decision-agent-v1,173
ff74f9dc-9215-434f-b1fe-09b4b6d5885c,2cc66e6f-a29c-4569-b587-f8f35b40aaf6,,2025-11-14T20:16:33+00:00,warn,True,customer risk score above 0.85,resolution,decision-agent-v1,289
ccd4b230-cd7a-4f92-a115-5d101ed213ba,628542dd-5c36-425c-a8d5-9b76b8212e0b,CR-003,2026-01-31T05:07:33+00:00,warn,True,confidence score below threshold,compliance_check,resolution-agent-v1,2116
851c2645-7954-482f-bd14-71038f0ef932,4063ff84-b451-49f1-80bc-277a729ddca5,,2025-09-27T16:05:33+00:00,warn,True,confidence score below threshold,data_pull,triage-agent-v1,83
4932c991-8ab1-4784-9dff-5ed63de16d12,917f3037-5cd0-4851-9701-2e0ae888af85,,2025-12-23T14:40:33+00:00,pass,True,insufficient transaction evidence,data_pull,triage-agent-v1,250
631447a0-69b1-474f-a27a-d9dabfc1b1cf,09b4b943-6c69-4075-80fe-b42ab6edf6ea,,2026-01-07T15:52:33+00:00,pass,True,compliance rule violation detected,data_pull,triage-agent-v1,139
317c3815-1c02-4964-be1d-8536c1e1dd2d,816a8c61-5a3c-4206-a688-f3214cde9568,,2025-12-05T06:11:33+00:00,block,True,duplicate complaint detected,data_pull,triage-agent-v1,211
11eb4582-a465-4383-ab59-8ff4265a9198,a2b90015-7079-44df-b054-1ad57c33427a,,2025-12-09T00:03:33+00:00,pass,True,customer account flagged for review,data_pull,triage-agent-v1,165
98fb0caf-aa39-4e7d-a7fb-a2bcd5a88df5,ef4a28b1-ce85-454f-bc62-ac54e86a8237,,2026-01-24T19:01:33+00:00,pass,True,fraud complaint misrouted,classification,triage-agent-v1,300
f7d35670-d70c-4dba-9c0f-0995a290fef2,a925ee0b-5e18-45eb-a962-086a24d4b3b1,,2026-03-04T18:50:33+00:00,pass,True,fraud complaint misrouted,classification,triage-agent-v1,238
da09613c-475d-423b-bf56-4be1b742a8ce,4abd0a0f-2c31-490c-a8cb-c6d16286a70e,CR-009,2025-09-21T16:46:33+00:00,pass,True,compliance rule violation detected,compliance_check,resolution-agent-v1,2130
2b3d512c-9de8-4b20-9a97-6304bea81e18,11280b5d-c921-40b2-a16f-067f8eed2107,,2025-09-23T15:07:33+00:00,pass,True,insufficient transaction evidence,draft_generation,resolution-agent-v1,1488
00baf850-bee7-43a4-a26f-47a871d10d9b,157c12e3-61bd-4f20-b47c-91a552f90704,,2025-09-10T20:58:33+00:00,pass,True,high value refund requires approval,classification,triage-agent-v1,139
41b79def-d3c6-4256-a24b-af00f6378680,76137173-6eff-46f6-94f0-cb37de447bd8,,2025-12-23T00:08:33+00:00,warn,True,compliance rule violation detected,draft_generation,resolution-agent-v1,1915
56168c46-19da-428a-82c0-42f3cb037464,1adbd666-3296-4362-a44d-8f8ec4ff0ac9,,2026-02-23T02:27:33+00:00,pass,True,customer account flagged for review,classification,triage-agent-v1,98
14466821-c0f6-4dd1-8ac6-ea76f4dc0b72,b1aceea0-0852-4fd7-bc52-8f40782377fa,,2025-11-28T03:46:33+00:00,warn,True,customer account flagged for review,resolution,decision-agent-v1,180
e0f23a0c-f34d-4763-81ae-9063615161e7,6dbedf3e-2f70-41a1-85cb-15101e404909,,2025-11-01T06:53:33+00:00,pass,True,confidence score below threshold,draft_generation,resolution-agent-v1,2399
4d4a5451-72db-4f0d-ae2c-0ae4b2ddf696,83dd6cd3-633c-4850-96da-0f4e5b438ca1,,2026-02-06T21:51:33+00:00,warn,True,confidence score below threshold,classification,triage-agent-v1,95
7535f178-ecb4-480c-84bd-f9af6046f80e,e36c3e3b-8340-4037-a214-d3c12055d3a8,,2026-02-21T07:09:33+00:00,pass,True,fraud complaint misrouted,draft_generation,resolution-agent-v1,3233
6d780b83-67cf-4ddc-9720-1917ac94ea32,29ffec9b-3f5f-48e0-b25d-884a20f14a5a,,2025-09-12T15:48:33+00:00,pass,True,insufficient transaction evidence,draft_generation,resolution-agent-v1,3477
b6ccbd14-f335-4608-bdfe-d2cf5fea7362,997700e4-1482-4d6b-b18b-57857a847427,CR-003,2025-10-08T08:48:33+00:00,block,True,customer account flagged for review,compliance_check,resolution-agent-v1,1473
f4917d45-862e-4b1d-96a0-d666dcbba3ea,38355d56-3a92-4d16-aafa-fc53cf92e697,,2025-09-14T06:05:33+00:00,pass,True,compliance rule violation detected,escalation,decision-agent-v1,183
138fdac3-7cd8-4256-8dc7-a5875278f850,a7fe83ed-3b7f-4590-bdf1-dee57c16bea7,,2025-11-20T02:32:33+00:00,block,True,SLA breach detected,draft_generation,resolution-agent-v1,2118
f1d82d15-e102-434d-b883-a2eecd5fdab9,9a43c3a6-b41b-47ac-8605-8305c5b7abdb,,2025-12-04T08:36:33+00:00,warn,True,customer account flagged for review,draft_generation,resolution-agent-v1,2499
71cb936a-9cce-49da-a319-a4eb3af98aea,06568116-b831-40c0-b987-7f6568da67fb,,2025-10-27T04:16:33+00:00,pass,True,confidence score below threshold,resolution,decision-agent-v1,234
da3f2e67-8625-4fe7-a16f-30cff7830553,028767dc-67c7-4c8f-b986-42ceb139a619,CR-010,2025-12-02T13:36:33+00:00,block,True,customer risk score above 0.85,compliance_check,resolution-agent-v1,4037
57746407-8a4d-47e2-a602-dd2429c11586,696877f9-52a5-46a1-8471-9e211882d105,,2025-11-02T23:34:33+00:00,pass,True,insufficient transaction evidence,resolution,decision-agent-v1,77
46178a70-991f-4131-aafc-90933ec5f783,b5d0cf24-3697-46c8-803b-6b72c48a2aa5,CR-013,2025-11-03T22:35:33+00:00,warn,True,fraud complaint misrouted,compliance_check,resolution-agent-v1,3568
193aff55-c0b2-4a9f-8167-f51ea2e054f3,a56dec63-eb2a-4bdd-94d1-cb7115137023,CR-010,2025-10-26T12:19:33+00:00,pass,True,customer account flagged for review,compliance_check,resolution-agent-v1,2836
e75ec6ce-88d4-4461-b4af-3b397478e70b,5b81501c-0c43-44b4-9465-5898a24f0576,,2026-01-17T07:48:33+00:00,pass,True,insufficient transaction evidence,data_pull,triage-agent-v1,292
b072772a-f996-4d2c-a5d8-cec517f3ad78,a73ebd4b-28b3-4eca-996d-e1e9904e330b,,2026-01-22T12:04:33+00:00,pass,True,customer account flagged for review,draft_generation,resolution-agent-v1,2823
01717720-9fb0-41b9-8068-90c12ce76276,533e5140-264e-42d0-8340-da7a75ec0057,CR-012,2026-01-18T07:44:33+00:00,pass,True,compliance rule violation detected,compliance_check,resolution-agent-v1,2118
7c4ac4d8-de17-4d26-af56-1390cab5e073,85b78f22-cc58-40f9-ac92-705c48cfab2c,,2025-12-21T09:21:33+00:00,pass,True,SLA breach detected,data_pull,triage-agent-v1,244
233946ea-1ecb-4fe1-90b0-eaa86c253f55,998c57e4-0e4f-4fa4-809f-654e3c068ba9,,2025-10-28T10:15:33+00:00,pass,True,duplicate complaint detected,escalation,decision-agent-v1,266
3921f759-298b-4651-84c3-ce215b189bf2,eefaec1d-a473-4ad9-9822-5a9a270ce2d3,,2025-11-05T16:10:33+00:00,pass,True,compliance rule violation detected,resolution,decision-agent-v1,56
afb8c3fa-572c-45e8-b8a6-a73a38c02532,be6dc447-36d1-4970-a9b0-c4c17f510e15,,2026-02-17T21:20:33+00:00,block,True,SLA breach detected,data_pull,triage-agent-v1,246
2b86098a-8eb8-429a-a3e5-215e5055cc5c,130fc375-5409-472e-94a9-73fabc533115,CR-010,2026-02-23T20:21:33+00:00,pass,True,high value refund requires approval,compliance_check,resolution-agent-v1,1117
0db9846c-3dea-4a5c-b47b-9df64960d9b6,aa063ded-81fd-419b-b254-863fcfdd814c,CR-003,2026-01-15T01:16:33+00:00,pass,True,insufficient transaction evidence,compliance_check,resolution-agent-v1,1193
3ab74c9d-276b-4e70-9a73-cc6de556c25b,a925ee0b-5e18-45eb-a962-086a24d4b3b1,,2026-02-01T09:25:33+00:00,block,True,high value refund requires approval,draft_generation,resolution-agent-v1,2014
ccdc0936-b14f-460f-95e9-8ddc43792d7f,9c8cf56a-0e38-4cdc-bd1f-b2f18ec48113,,2025-11-20T00:14:33+00:00,warn,True,duplicate complaint detected,draft_generation,resolution-agent-v1,2702
600f4773-a14f-44f6-93b9-9a61229b35ef,e5826cc7-5553-4525-bf9b-92ff0dcf19bf,,2025-10-29T08:58:33+00:00,warn,True,customer account flagged for review,data_pull,triage-agent-v1,155
f6b48940-bd3b-4f59-ac80-f90aacf3569a,3376b83f-e6d2-4f64-b906-dfa0bee59eaa,,2026-02-26T04:19:33+00:00,block,True,customer risk score above 0.85,resolution,decision-agent-v1,281
aaf7ac13-6919-40b4-b2b6-4b2eb973ddb3,2d4d9d8b-3cd5-4b2e-8210-eddcc4162711,,2026-01-31T18:20:33+00:00,warn,True,high value refund requires approval,draft_generation,resolution-agent-v1,1259
58f02fd6-1efe-4fe2-bf48-85cd3483762b,06839f90-4c64-4ba9-b553-000ee1977894,,2025-10-06T00:01:33+00:00,pass,True,confidence score below threshold,escalation,decision-agent-v1,217
eea20cba-497a-4ae8-a720-173a3a53eb7a,894fad28-583b-495e-9c96-370d8c332809,,2026-02-05T06:43:33+00:00,pass,True,insufficient transaction evidence,resolution,decision-agent-v1,181
34a8203e-a5f7-4015-972d-facb0ba67e3c,2a2291fd-658f-4dcb-bd5b-dbcb84a0643b,,2025-09-08T23:33:33+00:00,block,True,fraud complaint misrouted,escalation,decision-agent-v1,153
30dde0b2-fade-4395-a819-2d4d2804daea,988dca8e-e5bd-4268-93e4-ff4c3d7e7ed9,,2026-02-08T23:41:33+00:00,block,True,fraud complaint misrouted,escalation,decision-agent-v1,299
